name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2021-10-29,13.7,8.8,12,13.7,6.7,11.6,6.5,69.6,8.71,100,16.67,rain,0,0,52.2,27.2,72.1,1010.9,93.2,14.9,61.7,5.3,3,,2021-10-29T07:23:10,2021-10-29T17:55:41,0.79,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-10-30,18.2,11.7,15.1,18.2,11.7,15.1,12.3,83.8,11.96,100,45.83,rain,0,0,40.3,22.3,86.6,1003,87.1,13.6,70.5,6.1,6,,2021-10-30T07:24:20,2021-10-30T17:54:26,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-10-31,18,13.3,15.3,18,13.3,15.3,11,76.9,1.63,100,16.67,rain,0,0,42.5,20.5,247.3,1001.9,85,13.9,110.1,9.6,6,,2021-10-31T07:25:30,2021-10-31T17:53:12,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-01,15.1,11.3,13.3,15.1,11.3,13.3,3.8,54.5,0,0,0,,0,0,37.1,20.9,278.1,1016.3,32.4,16,149.1,13,7,,2021-11-01T07:26:40,2021-11-01T17:51:59,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-02,11.7,8.5,10.6,11.7,6.6,10.3,1.7,54.7,0,0,0,,0,0,33.5,18.4,233.8,1022.2,81.5,16,58.7,5,3,,2021-11-02T07:27:50,2021-11-02T17:50:47,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-03,11.2,5.3,8.1,11.2,3.4,6.9,-0.8,54.7,0,0,0,,0,0,38.9,20.2,310.7,1023.9,19.4,16,142.2,12.2,6,,2021-11-03T07:29:01,2021-11-03T17:49:37,0.99,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-04,10.4,4.4,7.4,10.4,1.9,6.2,-3,49.6,0,0,0,,0,0,,13.7,56,1026.6,29.7,16,118.6,10.3,6,,2021-11-04T07:30:11,2021-11-04T17:48:29,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2021-11-05,10.8,4.2,7.6,10.8,2,6.5,-2.3,51,0,0,0,,0,0,31.7,18.2,72.3,1027.1,8.4,16,148.7,12.9,6,,2021-11-05T07:31:22,2021-11-05T17:47:22,0,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-06,11.7,4.9,8.1,11.7,3.3,7.3,-1.4,52,0,0,0,,0,0,,8.7,43,1028.7,9.9,16,144.8,12.2,6,,2021-11-06T07:32:33,2021-11-06T17:46:17,0.02,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-07,12.2,5,8.6,12.2,3.7,8.4,0,56.7,0,0,0,,0,0,,9.2,141,1022.2,28,15.6,106.8,9.6,6,,2021-11-07T06:33:44,2021-11-07T16:45:13,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
